url_path,views_total,views_unique
/ChameleonTartu/itt8060/tree/master/Functional%20Programming%20Using%20F%23,9,3
/ChameleonTartu/itt8060,7,4
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/SampleExam.fsx,6,2
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter2.fsx,4,3
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter3.fsx,2,2
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter4.fsx,1,1
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter5.fsx,1,1
