url_path,views_total,views_unique
/ChameleonTartu/itt8060/tree/master/Functional%20Programming%20Using%20F%23,19,6
/ChameleonTartu/itt8060,17,6
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/SampleExam.fsx,13,6
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter5.fsx,8,4
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter2.fsx,8,3
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter4.fsx,7,4
/ChameleonTartu/itt8060/blob/master/Functional%20Programming%20Using%20F%23/Chapter3.fsx,5,2
