time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-23 00:00:00+00:00,1.0,1.0,,
2023-01-24 00:00:00+00:00,,,1.0,1.0
2023-01-26 00:00:00+00:00,,,2.0,1.0
2023-01-27 00:00:00+00:00,,,10.0,2.0
2023-01-28 00:00:00+00:00,,,18.0,1.0
2023-01-29 00:00:00+00:00,,,9.0,2.0
2023-01-31 00:00:00+00:00,,,7.0,2.0
2023-02-03 00:00:00+00:00,1.0,1.0,8.0,1.0
