url_path,views_total,views_unique
/ChameleonTartu/railway-oriented-programming-presentation,3,2
/ChameleonTartu/railway-oriented-programming-presentation/tree/master/src/main/kotlin/no/example/service,3,1
/ChameleonTartu/railway-oriented-programming-presentation/blob/master/src/main/kotlin/no/example/service/singletrackfunctions/ComplexNumber.kt,2,2
/ChameleonTartu/railway-oriented-programming-presentation/tree/master/src/main/kotlin/no/example/service/singletrackfunctions,2,1
/ChameleonTartu/railway-oriented-programming-presentation/blob/master/src/main/kotlin/no/example/Application.kt,1,1
/ChameleonTartu/railway-oriented-programming-presentation/blob/master/src/main/kotlin/no/example/service/deadendfunctions/HtmlParserResult.kt,1,1
/ChameleonTartu/railway-oriented-programming-presentation/blob/master/src/main/kotlin/no/example/service/singletrackfunctions/ComplexNumberResult.kt,1,1
/ChameleonTartu/railway-oriented-programming-presentation/blob/master/src/main/kotlin/no/example/service/supervisoryfunctions/SentryLoginResult.kt,1,1
/ChameleonTartu/railway-oriented-programming-presentation/tree/master/src/main/kotlin/no/example,1,1
/ChameleonTartu/railway-oriented-programming-presentation/tree/master/src/main/kotlin/no/example/service/deadendfunctions,1,1
