time_iso8601,stars_cumulative
2020-08-28 00:00:00+00:00,1
2020-08-31 00:00:00+00:00,2
2020-09-16 00:00:00+00:00,3
2020-09-21 00:00:00+00:00,4
2020-09-24 00:00:00+00:00,5
2020-11-20 00:00:00+00:00,6
2021-08-20 00:00:00+00:00,7
2022-07-01 00:00:00+00:00,8
