url_path,views_total,views_unique
/ChameleonTartu/competitive_programming,13,10
/ChameleonTartu/competitive_programming/tree/master/eOlymp/DepthFirstSearch,10,7
/ChameleonTartu/competitive_programming/tree/master/Codeforces,2,2
/ChameleonTartu/competitive_programming/tree/master/eOlymp,1,1
/ChameleonTartu/competitive_programming/tree/master/ProjectEuler,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus/C%2B%2B,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus/Java,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus/Ruby,1,1
