url_path,views_total,views_unique
/ChameleonTartu/competitive_programming,3,3
/ChameleonTartu/competitive_programming/tree/master/eOlymp/DepthFirstSearch,2,2
/ChameleonTartu/competitive_programming/blob/master/eOlymp/DepthFirstSearch/.A.cpp.swp,1,1
/ChameleonTartu/competitive_programming/blob/master/eOlymp/DepthFirstSearch/a.out,1,1
/ChameleonTartu/competitive_programming/blob/master/ProjectEuler/ProjectEuler%231.cpp,1,1
/ChameleonTartu/competitive_programming/find/master,1,1
/ChameleonTartu/competitive_programming/tree/master/ProjectEuler,1,1
