url_path,views_total,views_unique
/ChameleonTartu/competitive_programming,24,18
/ChameleonTartu/competitive_programming/tree/master/eOlymp/DepthFirstSearch,14,11
/ChameleonTartu/competitive_programming/blob/master/eOlymp/DepthFirstSearch/A.cpp,2,2
/ChameleonTartu/competitive_programming/tree/master/Codeforces,2,2
/ChameleonTartu/competitive_programming/tree/master/eOlymp,2,2
/ChameleonTartu/competitive_programming/tree/master/HackerRank,2,2
/ChameleonTartu/competitive_programming/tree/master/HackerRank/Ruby,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus/C%2B%2B,1,1
