url_path,views_total,views_unique
/ChameleonTartu/competitive_programming,42,28
/ChameleonTartu/competitive_programming/tree/master/eOlymp/DepthFirstSearch,26,21
/ChameleonTartu/competitive_programming/tree/master/HackerRank,2,2
/ChameleonTartu/competitive_programming/blob/master/eOlymp/DepthFirstSearch/A.cpp,1,1
/ChameleonTartu/competitive_programming/tree/master/HackerRank/Java,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus,1,1
/ChameleonTartu/competitive_programming/tree/master/Timus/C%2B%2B,1,1
