url_path,views_total,views_unique
/thomasborgen/storage-bucket/pull/54,10,2
/thomasborgen/storage-bucket/issues,5,1
/thomasborgen/storage-bucket,4,1
/thomasborgen/storage-bucket/pull/54/files,2,2
/thomasborgen/storage-bucket/releases/new,2,1
/thomasborgen/storage-bucket/releases/tag/untagged-20f0ccdd56819638c960,2,1
/thomasborgen/storage-bucket/tree/3.0.0,2,1
/thomasborgen/storage-bucket/issues/55,1,1
/thomasborgen/storage-bucket/issues/new,1,1
/thomasborgen/storage-bucket/issues/new/choose,1,1
