url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/workflows/deploy.yml,7,6
/ChameleonTartu/amazon-mws-reports-maven,7,2
/ChameleonTartu/amazon-mws-reports-maven/blob/master/pom.xml,3,1
/ChameleonTartu/amazon-mws-reports-maven/releases,2,1
/ChameleonTartu/amazon-mws-reports-maven/commit/476be57abceca77a94fcf84434a0007ff64b8c35,1,1
/ChameleonTartu/amazon-mws-reports-maven/commits/master/pom.xml,1,1
/ChameleonTartu/amazon-mws-reports-maven/releases/tag/1.5.0-RC1,1,1
