url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-reports-maven,3,2
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/workflows/deploy.yml,3,2
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/FUNDING.yml,1,1
/ChameleonTartu/amazon-mws-reports-maven/blob/master/pom.xml,1,1
/ChameleonTartu/amazon-mws-reports-maven/tags,1,1
/ChameleonTartu/amazon-mws-reports-maven/tree/master/.github,1,1
/ChameleonTartu/amazon-mws-reports-maven/tree/master/.github/workflows,1,1
/ChameleonTartu/amazon-mws-reports-maven/tree/master/src,1,1
