url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/workflows/deploy.yml,17,12
/ChameleonTartu/amazon-mws-reports-maven,5,4
/ChameleonTartu/amazon-mws-reports-maven/tree/master/.github/workflows,2,2
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/workflows/linux.yml,1,1
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/workflows/security-check.yml,1,1
/ChameleonTartu/amazon-mws-reports-maven/blob/master/pom.xml,1,1
/ChameleonTartu/amazon-mws-reports-maven/tree/master/.github,1,1
