url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-reports-maven,10,7
/ChameleonTartu/amazon-mws-reports-maven/blob/master/.github/workflows/deploy.yml,10,7
/ChameleonTartu/amazon-mws-reports-maven/blob/master/pom.xml,3,3
/ChameleonTartu/amazon-mws-reports-maven/actions,3,2
/ChameleonTartu/amazon-mws-reports-maven/tree/master/src,2,1
/ChameleonTartu/amazon-mws-reports-maven/tree/master/src/main/java/com/amazonaws/mws,2,1
/ChameleonTartu/amazon-mws-reports-maven/tree/master/src/main/java/com/amazonaws/mws/model,2,1
/ChameleonTartu/amazon-mws-reports-maven/actions/runs/181171385/workflow,1,1
/ChameleonTartu/amazon-mws-reports-maven/blob/master/src/main/java/com/amazonaws/mws/model/TypeList.java,1,1
/ChameleonTartu/amazon-mws-reports-maven/search,1,1
