time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-29 00:00:00+00:00,,,2,2
2021-07-02 00:00:00+00:00,,,1,1
2021-07-06 00:00:00+00:00,,,1,1
2021-07-07 00:00:00+00:00,,,12,3
2021-07-08 00:00:00+00:00,,,45,2
2021-07-09 00:00:00+00:00,,,12,3
2021-07-10 00:00:00+00:00,,,1,1
2021-07-11 00:00:00+00:00,,,1,1
2021-07-12 00:00:00+00:00,,,2,2
