url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-feeds-maven/actions,25,2
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/build.yml,10,1
/ChameleonTartu/amazon-mws-feeds-maven,7,3
/ChameleonTartu/amazon-mws-feeds-maven/pull/11/checks,5,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1650203711,4,2
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1650164915,3,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/windows.yml,3,1
/ChameleonTartu/amazon-mws-feeds-maven/pulls,3,1
/ChameleonTartu/amazon-mws-feeds-maven/runs/4691824066,3,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1649596314,2,1
