url_path,views_total,views_unique
/ChameleonTartu/amazon-mws-feeds-maven/actions,71,2
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/windows.yml,29,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/workflows/build.yml,14,1
/ChameleonTartu/amazon-mws-feeds-maven/pulls,11,1
/ChameleonTartu/amazon-mws-feeds-maven,10,3
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1654960126,9,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1653817299,7,1
/ChameleonTartu/amazon-mws-feeds-maven/pull/11,7,1
/ChameleonTartu/amazon-mws-feeds-maven/runs/4705664206,7,1
/ChameleonTartu/amazon-mws-feeds-maven/actions/runs/1655019049,6,1
